neighborhood,ocorrencias,pct_acao
ESPINHEIRO,43,11.6
AFLITOS,57,10.5
MANGABEIRA,92,9.8
NOVA DESCOBERTA,154,8.4
CURADO,83,8.4
IPUTINGA,148,8.1
JAQUEIRA,39,7.7
SAN MARTIN,97,7.2
BREJO DA GUARDEIRA,72,6.9
CAXANGA,62,6.5
COHAB,133,6.0
IBURA,150,6.0
ROSARINHO,34,5.9
VARZEA,163,5.5
CORDOARIA,91,5.5
TOTOS,37,5.4
ESTACAO,80,5.0
SANTO AMARO,70,4.3
ALTO JOSE DO PINHO,103,3.9
CASA AMARELA,56,3.6
POCO DA PANELA,32,3.1
VASCO DA GAMA,64,3.1
JARDIM SAO PAULO,64,1.6
BOA VISTA,42,0.0
GRACO,34,0.0
