id,neighborhood,age,data,latitude,longitude,main_reason,race,genre,address,police_action,hora_estimada,hora_valida,ano,mes,nome_mes,dia,dia_semana,trimestre,fim_semana,hora,periodo,ageGroup,fonte
FC-00001,VASCO DA GAMA,35.0,2024-11-24 22:05:37,-8.055415,-34.878057,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 16, VASCO DA GAMA - RECIFE/PE",False,False,22.0,2024,11,NOVEMBRO,24,DOMINGO,4,True,22.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00002,COHAB,48.0,2023-12-18 15:28:37,-8.065702,-34.905702,DISPARO,PRETA,HOMEM CIS,"RUA 446, COHAB - RECIFE/PE",False,False,15.0,2023,12,DEZEMBRO,18,SEGUNDA-FEIRA,4,False,15.0,TARDE,ADULTO,FOGO_CRUZADO
FC-00003,IBURA,48.0,2019-06-04 02:06:22,-8.079698,-34.893408,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"RUA 310, IBURA - RECIFE/PE",False,False,2.0,2019,6,JUNHO,4,TERÇA-FEIRA,2,False,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00004,NOVA DESCOBERTA,36.0,2025-02-18 11:40:39,-8.01639,-34.866397,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 186, NOVA DESCOBERTA - RECIFE/PE",False,False,11.0,2025,2,FEVEREIRO,18,TERÇA-FEIRA,1,False,11.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00005,MANGABEIRA,32.0,2020-02-28 07:06:24,-8.01574,-34.875175,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 326, MANGABEIRA - RECIFE/PE",False,False,7.0,2020,2,FEVEREIRO,28,SEXTA-FEIRA,1,False,7.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00006,CAXANGA,23.0,2023-11-21 02:40:10,-8.028038,-34.919057,TIRO,NAO IDENTIFICADO,HOMEM CIS,"RUA 126, CAXANGA - RECIFE/PE",False,False,2.0,2023,11,NOVEMBRO,21,TERÇA-FEIRA,4,False,2.0,MADRUGADA,ADULTO,FOGO_CRUZADO
FC-00007,VARZEA,19.0,2022-11-11 21:49:03,-8.039237,-34.910603,TIRO,AMARELA,HOMEM CIS,"RUA 17, VARZEA - RECIFE/PE",False,False,21.0,2022,11,NOVEMBRO,11,SEXTA-FEIRA,4,False,21.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00008,CASA AMARELA,27.0,2022-12-11 06:31:25,-8.031797,-34.864274,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"RUA 330, CASA AMARELA - RECIFE/PE",False,False,6.0,2022,12,DEZEMBRO,11,DOMINGO,4,True,6.0,MANHÃ,ADULTO,FOGO_CRUZADO
FC-00009,SAN MARTIN,23.0,2020-10-14 22:25:23,-8.039667,-34.881453,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"RUA 71, SAN MARTIN - RECIFE/PE",False,False,22.0,2020,10,OUTUBRO,14,QUARTA-FEIRA,4,False,22.0,NOITE,ADULTO,FOGO_CRUZADO
FC-00010,ALTO JOSE DO PINHO,34.0,2023-11-14 19:24:24,-8.021802,-34.885875,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"RUA 240, ALTO JOSE DO PINHO - RECIFE/PE",False,False,19.0,2023,11,NOVEMBRO,14,TERÇA-FEIRA,4,False,19.0,NOITE,ADULTO,FOGO_CRUZADO
