id,neighborhood,age,data,latitude,longitude,main_reason,race,genre,police_action,hora_estimada,hora_valida,ano,mes,nome_mes,dia,dia_semana,trimestre,fim_semana,hora,periodo,ageGroup
FC-00001,VASCO DA GAMA,35.0,2024-11-24 22:05:37,-8.055,-34.878,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,22.0,2024,11,NOVEMBRO,24,DOMINGO,4,True,22.0,NOITE,ADULTO
FC-00002,COHAB,48.0,2023-12-18 15:28:37,-8.066,-34.906,DISPARO,PRETA,HOMEM CIS,False,False,15.0,2023,12,DEZEMBRO,18,SEGUNDA-FEIRA,4,False,15.0,TARDE,ADULTO
FC-00003,IBURA,48.0,2019-06-04 02:06:22,-8.08,-34.893,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,False,False,2.0,2019,6,JUNHO,4,TERÇA-FEIRA,2,False,2.0,MADRUGADA,ADULTO
FC-00004,NOVA DESCOBERTA,36.0,2025-02-18 11:40:39,-8.016,-34.866,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,11.0,2025,2,FEVEREIRO,18,TERÇA-FEIRA,1,False,11.0,MANHÃ,ADULTO
FC-00005,MANGABEIRA,32.0,2020-02-28 07:06:24,-8.016,-34.875,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,7.0,2020,2,FEVEREIRO,28,SEXTA-FEIRA,1,False,7.0,MANHÃ,ADULTO
FC-00006,CAXANGA,23.0,2023-11-21 02:40:10,-8.028,-34.919,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,2.0,2023,11,NOVEMBRO,21,TERÇA-FEIRA,4,False,2.0,MADRUGADA,ADULTO
FC-00007,VARZEA,19.0,2022-11-11 21:49:03,-8.039,-34.911,TIRO,AMARELA,HOMEM CIS,False,False,21.0,2022,11,NOVEMBRO,11,SEXTA-FEIRA,4,False,21.0,NOITE,ADULTO
FC-00008,CASA AMARELA,27.0,2022-12-11 06:31:25,-8.032,-34.864,ROUBO,NAO IDENTIFICADO,HOMEM CIS,False,False,6.0,2022,12,DEZEMBRO,11,DOMINGO,4,True,6.0,MANHÃ,ADULTO
FC-00009,SAN MARTIN,23.0,2020-10-14 22:25:23,-8.04,-34.881,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,22.0,2020,10,OUTUBRO,14,QUARTA-FEIRA,4,False,22.0,NOITE,ADULTO
FC-00010,ALTO JOSE DO PINHO,34.0,2023-11-14 19:24:24,-8.022,-34.886,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,19.0,2023,11,NOVEMBRO,14,TERÇA-FEIRA,4,False,19.0,NOITE,ADULTO
FC-00011,ALTO JOSE DO PINHO,21.0,2024-11-18 21:49:41,-8.014,-34.885,HOMICIDIO/TENTATIVA,PARDA,NAO IDENTIFICADO,False,False,21.0,2024,11,NOVEMBRO,18,SEGUNDA-FEIRA,4,False,21.0,NOITE,ADULTO
FC-00012,ESTACAO,17.0,2020-09-25 04:58:06,-8.051,-34.875,ROUBO,BRANCA,HOMEM CIS,False,False,4.0,2020,9,SETEMBRO,25,SEXTA-FEIRA,3,False,4.0,MADRUGADA,ADOLESCENTE
FC-00013,CAXANGA,32.0,2019-09-01 19:31:01,-8.031,-34.924,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,19.0,2019,9,SETEMBRO,1,DOMINGO,3,True,19.0,NOITE,ADULTO
FC-00014,CURADO,34.0,2025-02-03 21:52:04,-8.068,-34.909,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,False,False,21.0,2025,2,FEVEREIRO,3,SEGUNDA-FEIRA,1,False,21.0,NOITE,ADULTO
FC-00015,TOTOS,28.0,2020-10-14 23:59:34,-8.039,-34.869,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,23.0,2020,10,OUTUBRO,14,QUARTA-FEIRA,4,False,23.0,NOITE,ADULTO
FC-00016,VARZEA,21.0,2022-09-15 03:14:04,-8.036,-34.912,TIRO,AMARELA,HOMEM CIS,False,False,3.0,2022,9,SETEMBRO,15,QUINTA-FEIRA,3,False,3.0,MADRUGADA,ADULTO
FC-00017,MANGABEIRA,34.0,2018-02-02 21:04:32,-8.015,-34.869,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,21.0,2018,2,FEVEREIRO,2,SEXTA-FEIRA,1,False,21.0,NOITE,ADULTO
FC-00018,ALTO JOSE DO PINHO,25.0,2023-04-26 16:26:12,-8.022,-34.883,ROUBO,PRETA,HOMEM CIS,False,False,16.0,2023,4,ABRIL,26,QUARTA-FEIRA,2,False,16.0,TARDE,ADULTO
FC-00019,ESTACAO,42.0,2023-11-04 01:46:21,-8.05,-34.874,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,1.0,2023,11,NOVEMBRO,4,SÁBADO,4,True,1.0,MADRUGADA,ADULTO
FC-00020,NOVA DESCOBERTA,26.0,2020-04-28 22:28:51,-8.014,-34.862,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,22.0,2020,4,ABRIL,28,TERÇA-FEIRA,2,False,22.0,NOITE,ADULTO
FC-00021,COHAB,24.0,2019-04-06 15:30:13,-8.066,-34.908,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,15.0,2019,4,ABRIL,6,SÁBADO,2,True,15.0,TARDE,ADULTO
FC-00022,IBURA,15.0,2024-08-10 15:46:50,-8.08,-34.888,HOMICIDIO/TENTATIVA,AMARELA,HOMEM CIS,False,False,15.0,2024,8,AGOSTO,10,SÁBADO,3,True,15.0,TARDE,ADOLESCENTE
FC-00023,ALTO JOSE DO PINHO,29.0,2024-01-24 12:03:37,-8.017,-34.884,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,12.0,2024,1,JANEIRO,24,QUARTA-FEIRA,1,False,12.0,TARDE,ADULTO
FC-00024,CAXANGA,22.0,2020-10-03 20:15:25,-8.024,-34.915,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,False,False,20.0,2020,10,OUTUBRO,3,SÁBADO,4,True,20.0,NOITE,ADULTO
FC-00025,MANGABEIRA,29.0,2023-10-17 12:16:13,-8.005,-34.878,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,12.0,2023,10,OUTUBRO,17,TERÇA-FEIRA,4,False,12.0,TARDE,ADULTO
FC-00026,NOVA DESCOBERTA,39.0,2021-02-01 16:36:06,-8.015,-34.866,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,False,False,16.0,2021,2,FEVEREIRO,1,SEGUNDA-FEIRA,1,False,16.0,TARDE,ADULTO
FC-00027,ALTO JOSE DO PINHO,31.0,2020-05-06 15:34:45,-8.026,-34.886,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,15.0,2020,5,MAIO,6,QUARTA-FEIRA,2,False,15.0,TARDE,ADULTO
FC-00028,SANTO AMARO,34.0,2023-03-09 02:06:47,-8.054,-34.872,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,False,False,2.0,2023,3,MARÇO,9,QUINTA-FEIRA,1,False,2.0,MADRUGADA,ADULTO
FC-00029,NOVA DESCOBERTA,20.0,2024-09-16 09:58:54,-8.017,-34.862,TIRO,NAO IDENTIFICADO,HOMEM CIS,True,False,9.0,2024,9,SETEMBRO,16,SEGUNDA-FEIRA,3,False,9.0,MANHÃ,ADULTO
FC-00030,ESTACAO,33.0,2023-05-06 21:35:45,-8.055,-34.869,AMEACA,NAO IDENTIFICADO,HOMEM CIS,False,False,21.0,2023,5,MAIO,6,SÁBADO,2,True,21.0,NOITE,ADULTO
FC-00031,COHAB,33.0,2018-06-19 18:27:08,-8.062,-34.907,HOMICIDIO/TENTATIVA,PRETA,MULHER CIS,True,False,18.0,2018,6,JUNHO,19,TERÇA-FEIRA,2,False,18.0,NOITE,ADULTO
FC-00032,CURADO,26.0,2020-04-22 02:49:35,-8.071,-34.914,ROUBO,PARDA,HOMEM CIS,False,False,2.0,2020,4,ABRIL,22,QUARTA-FEIRA,2,False,2.0,MADRUGADA,ADULTO
FC-00033,GRACO,33.0,2019-03-14 00:47:59,-8.042,-34.87,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,False,False,0.0,2019,3,MARÇO,14,QUINTA-FEIRA,1,False,0.0,MADRUGADA,ADULTO
FC-00034,ESTACAO,27.0,2019-12-04 14:02:54,-8.057,-34.872,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,False,False,14.0,2019,12,DEZEMBRO,4,QUARTA-FEIRA,4,False,14.0,TARDE,ADULTO
FC-00035,CASA AMARELA,25.0,2020-01-22 05:21:17,-8.034,-34.86,AMEACA,NAO IDENTIFICADO,HOMEM CIS,False,False,5.0,2020,1,JANEIRO,22,QUARTA-FEIRA,1,False,5.0,MADRUGADA,ADULTO
FC-00036,TOTOS,34.0,2024-06-01 02:16:11,-8.032,-34.864,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,2.0,2024,6,JUNHO,1,SÁBADO,2,True,2.0,MADRUGADA,ADULTO
FC-00037,IBURA,33.0,2022-09-04 14:36:12,-8.082,-34.898,AMEACA,NAO IDENTIFICADO,HOMEM CIS,False,False,14.0,2022,9,SETEMBRO,4,DOMINGO,3,True,14.0,TARDE,ADULTO
FC-00038,ESTACAO,29.0,2025-12-22 05:27:04,-8.053,-34.864,TIRO,PARDA,HOMEM CIS,False,False,5.0,2025,12,DEZEMBRO,22,SEGUNDA-FEIRA,4,False,5.0,MADRUGADA,ADULTO
FC-00039,IPUTINGA,27.0,2021-05-22 15:25:44,-8.027,-34.893,TIRO,PARDA,HOMEM CIS,False,False,15.0,2021,5,MAIO,22,SÁBADO,2,True,15.0,TARDE,ADULTO
FC-00040,VARZEA,15.0,2019-10-10 15:53:00,-8.032,-34.913,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,15.0,2019,10,OUTUBRO,10,QUINTA-FEIRA,4,False,15.0,TARDE,ADOLESCENTE
FC-00041,ESTACAO,39.0,2022-04-17 16:57:50,-8.056,-34.867,DISPARO,PRETA,HOMEM CIS,False,False,16.0,2022,4,ABRIL,17,DOMINGO,2,True,16.0,TARDE,ADULTO
FC-00042,COHAB,13.0,2024-04-22 12:51:12,-8.063,-34.898,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,False,False,12.0,2024,4,ABRIL,22,SEGUNDA-FEIRA,2,False,12.0,TARDE,ADOLESCENTE
FC-00043,NOVA DESCOBERTA,18.0,2021-11-19 05:44:24,-8.017,-34.865,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,False,False,5.0,2021,11,NOVEMBRO,19,SEXTA-FEIRA,4,False,5.0,MADRUGADA,ADULTO
FC-00044,VARZEA,23.0,2025-07-08 04:44:33,-8.04,-34.915,ROUBO,PARDA,HOMEM CIS,False,False,4.0,2025,7,JULHO,8,TERÇA-FEIRA,3,False,4.0,MADRUGADA,ADULTO
FC-00045,NOVA DESCOBERTA,17.0,2023-09-20 12:48:57,-8.014,-34.868,AMEACA,NAO IDENTIFICADO,MULHER CIS,False,False,12.0,2023,9,SETEMBRO,20,QUARTA-FEIRA,3,False,12.0,TARDE,ADOLESCENTE
FC-00046,AFLITOS,48.0,2025-12-28 16:16:48,-8.047,-34.873,DISPARO,PARDA,HOMEM CIS,False,False,16.0,2025,12,DEZEMBRO,28,DOMINGO,4,True,16.0,TARDE,ADULTO
FC-00047,NOVA DESCOBERTA,39.0,2022-12-10 07:21:20,-8.019,-34.864,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,7.0,2022,12,DEZEMBRO,10,SÁBADO,4,True,7.0,MANHÃ,ADULTO
FC-00048,VARZEA,45.0,2018-07-11 18:26:03,-8.04,-34.914,TIRO,PRETA,HOMEM CIS,False,False,18.0,2018,7,JULHO,11,QUARTA-FEIRA,3,False,18.0,NOITE,ADULTO
FC-00049,CORDOARIA,33.0,2025-10-13 16:22:19,-8.056,-34.877,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,False,False,16.0,2025,10,OUTUBRO,13,SEGUNDA-FEIRA,4,False,16.0,TARDE,ADULTO
FC-00050,CURADO,13.0,2024-04-16 06:27:31,-8.068,-34.909,TIRO,NAO IDENTIFICADO,MULHER CIS,True,False,6.0,2024,4,ABRIL,16,TERÇA-FEIRA,2,False,6.0,MANHÃ,ADOLESCENTE
FC-00051,SANTO AMARO,33.0,2025-10-18 00:25:37,-8.057,-34.872,AMEACA,PRETA,HOMEM CIS,False,False,0.0,2025,10,OUTUBRO,18,SÁBADO,4,True,0.0,MADRUGADA,ADULTO
FC-00052,COHAB,32.0,2020-06-07 16:21:48,-8.064,-34.907,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,False,False,16.0,2020,6,JUNHO,7,DOMINGO,2,True,16.0,TARDE,ADULTO
FC-00053,ESPINHEIRO,58.0,2018-09-02 23:22:14,-8.041,-34.872,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,False,False,23.0,2018,9,SETEMBRO,2,DOMINGO,3,True,23.0,NOITE,ADULTO
FC-00054,JAQUEIRA,37.0,2024-10-05 07:30:42,-8.041,-34.866,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,7.0,2024,10,OUTUBRO,5,SÁBADO,4,True,7.0,MANHÃ,ADULTO
FC-00055,VARZEA,43.0,2023-12-23 02:52:10,-8.037,-34.912,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,False,False,2.0,2023,12,DEZEMBRO,23,SÁBADO,4,True,2.0,MADRUGADA,ADULTO
FC-00056,MANGABEIRA,37.0,2021-12-07 02:44:53,-8.008,-34.864,ROUBO,PRETA,MULHER CIS,False,False,2.0,2021,12,DEZEMBRO,7,TERÇA-FEIRA,4,False,2.0,MADRUGADA,ADULTO
FC-00057,BOA VISTA,27.0,2024-10-26 01:34:27,-8.052,-34.878,AMEACA,PRETA,HOMEM CIS,False,False,1.0,2024,10,OUTUBRO,26,SÁBADO,4,True,1.0,MADRUGADA,ADULTO
FC-00058,ALTO JOSE DO PINHO,20.0,2019-06-21 22:29:45,-8.02,-34.884,AMEACA,PARDA,HOMEM CIS,False,False,22.0,2019,6,JUNHO,21,SEXTA-FEIRA,2,False,22.0,NOITE,ADULTO
FC-00059,AFLITOS,35.0,2022-08-15 15:46:37,-8.043,-34.872,AMEACA,NAO IDENTIFICADO,MULHER CIS,False,False,15.0,2022,8,AGOSTO,15,SEGUNDA-FEIRA,3,False,15.0,TARDE,ADULTO
FC-00060,NOVA DESCOBERTA,52.0,2024-10-20 20:21:01,-8.016,-34.857,DISPARO,NAO IDENTIFICADO,MULHER CIS,False,False,20.0,2024,10,OUTUBRO,20,DOMINGO,4,True,20.0,NOITE,ADULTO
FC-00061,VARZEA,37.0,2025-12-09 18:33:12,-8.038,-34.918,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,False,False,18.0,2025,12,DEZEMBRO,9,TERÇA-FEIRA,4,False,18.0,NOITE,ADULTO
FC-00062,ESTACAO,35.0,2023-08-26 00:18:14,-8.054,-34.869,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,0.0,2023,8,AGOSTO,26,SÁBADO,3,True,0.0,MADRUGADA,ADULTO
FC-00063,IPUTINGA,35.0,2021-12-18 13:44:29,-8.028,-34.896,DISPARO,NAO IDENTIFICADO,HOMEM CIS,False,False,13.0,2021,12,DEZEMBRO,18,SÁBADO,4,True,13.0,TARDE,ADULTO
FC-00064,NOVA DESCOBERTA,11.0,2025-12-06 05:47:30,-8.016,-34.862,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,5.0,2025,12,DEZEMBRO,6,SÁBADO,4,True,5.0,MADRUGADA,CRIANCA
FC-00065,GRACO,32.0,2020-04-12 04:00:45,-8.047,-34.869,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,4.0,2020,4,ABRIL,12,DOMINGO,2,True,4.0,MADRUGADA,ADULTO
FC-00066,IBURA,34.0,2023-08-04 21:36:18,-8.085,-34.892,BRIGA,NAO IDENTIFICADO,HOMEM CIS,False,False,21.0,2023,8,AGOSTO,4,SEXTA-FEIRA,3,False,21.0,NOITE,ADULTO
FC-00067,IPUTINGA,32.0,2019-02-13 17:36:40,-8.031,-34.892,ROUBO,NAO IDENTIFICADO,MULHER CIS,False,False,17.0,2019,2,FEVEREIRO,13,QUARTA-FEIRA,1,False,17.0,TARDE,ADULTO
FC-00068,VARZEA,36.0,2019-07-20 19:39:14,-8.032,-34.912,OUTRO,NAO IDENTIFICADO,HOMEM CIS,False,False,19.0,2019,7,JULHO,20,SÁBADO,3,True,19.0,NOITE,ADULTO
FC-00069,SAN MARTIN,13.0,2021-10-02 19:47:06,-8.043,-34.876,OUTRO,PARDA,HOMEM CIS,False,False,19.0,2021,10,OUTUBRO,2,SÁBADO,4,True,19.0,NOITE,ADOLESCENTE
FC-00070,VASCO DA GAMA,36.0,2022-03-01 15:44:38,-8.053,-34.868,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,15.0,2022,3,MARÇO,1,TERÇA-FEIRA,1,False,15.0,TARDE,ADULTO
FC-00071,NOVA DESCOBERTA,36.0,2023-05-26 21:37:42,-8.012,-34.862,DISPARO,PRETA,HOMEM CIS,False,False,21.0,2023,5,MAIO,26,SEXTA-FEIRA,2,False,21.0,NOITE,ADULTO
FC-00072,ESTACAO,37.0,2024-02-02 04:19:38,-8.054,-34.869,ROUBO,PRETA,HOMEM CIS,False,False,4.0,2024,2,FEVEREIRO,2,SEXTA-FEIRA,1,False,4.0,MADRUGADA,ADULTO
FC-00073,JARDIM SAO PAULO,20.0,2021-05-17 18:28:05,-8.006,-34.856,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,18.0,2021,5,MAIO,17,SEGUNDA-FEIRA,2,False,18.0,NOITE,ADULTO
FC-00074,ESTACAO,30.0,2025-10-19 23:48:43,-8.046,-34.877,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,False,False,23.0,2025,10,OUTUBRO,19,DOMINGO,4,True,23.0,NOITE,ADULTO
FC-00075,IBURA,38.0,2025-03-19 15:52:31,-8.087,-34.893,TIRO,NAO IDENTIFICADO,HOMEM CIS,False,False,15.0,2025,3,MARÇO,19,QUARTA-FEIRA,1,False,15.0,TARDE,ADULTO
FC-00076,IPUTINGA,43.0,2021-12-16 11:25:52,-8.028,-34.896,ROUBO,PRETA,HOMEM CIS,False,False,11.0,2021,12,DEZEMBRO,16,QUINTA-FEIRA,4,False,11.0,MANHÃ,ADULTO
FC-00077,SAN MARTIN,21.0,2021-09-27 23:42:55,-8.038,-34.88,BRIGA,NAO IDENTIFICADO,HOMEM CIS,False,False,23.0,2021,9,SETEMBRO,27,SEGUNDA-FEIRA,3,False,23.0,NOITE,ADULTO
FC-00078,IBURA,32.0,2022-01-07 10:08:59,-8.082,-34.894,DISPARO,PRETA,HOMEM CIS,False,False,10.0,2022,1,JANEIRO,7,SEXTA-FEIRA,1,False,10.0,MANHÃ,ADULTO
FC-00079,BOA VISTA,55.0,2020-03-10 18:35:26,-8.048,-34.881,TIRO,BRANCA,HOMEM CIS,False,False,18.0,2020,3,MARÇO,10,TERÇA-FEIRA,1,False,18.0,NOITE,ADULTO
