id,neighborhood,age,data,latitude,longitude,main_reason,race,genre,address,police_action
FC-00001,VASCO DA GAMA,35,24/11/2024 22:05:37,-8.055415,-34.878057,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 16, VASCO DA GAMA - Recife/PE",False
FC-00002,COHAB,48,18/12/2023 15:28:37,-8.065702,-34.905702,DISPARO,PRETA,HOMEM CIS,"Rua 446, COHAB - Recife/PE",False
FC-00003,IBURA,48,04/06/2019 02:06:22,-8.079698,-34.893408,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"Rua 310, IBURA - Recife/PE",False
FC-00004,NOVA DESCOBERTA,36,18/02/2025 11:40:39,-8.01639,-34.866397,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 186, NOVA DESCOBERTA - Recife/PE",False
FC-00005,MANGABEIRA,32,28/02/2020 07:06:24,-8.01574,-34.875175,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 326, MANGABEIRA - Recife/PE",False
FC-00006,CAXANGA,23,21/11/2023 02:40:10,-8.028038,-34.919057,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 126, CAXANGA - Recife/PE",False
FC-00007,VARZEA,19,11/11/2022 21:49:03,-8.039237,-34.910603,TIRO,AMARELA,HOMEM CIS,"Rua 17, VARZEA - Recife/PE",False
FC-00008,CASA AMARELA,27,11/12/2022 06:31:25,-8.031797,-34.864274,ROUBO,NAO IDENTIFICADO,HOMEM CIS,"Rua 330, CASA AMARELA - Recife/PE",False
FC-00009,SAN MARTIN,23,14/10/2020 22:25:23,-8.039667,-34.881453,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 71, SAN MARTIN - Recife/PE",False
FC-00010,ALTO JOSE DO PINHO,34,14/11/2023 19:24:24,-8.021802,-34.885875,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 240, ALTO JOSE DO PINHO - Recife/PE",False
FC-00011,ALTO JOSE DO PINHO,21,18/11/2024 21:49:41,-8.014443,-34.88504,HOMICIDIO/TENTATIVA,PARDA,NAO IDENTIFICADO,"Rua 151, ALTO JOSE DO PINHO - Recife/PE",False
FC-00012,ESTACAO,17,25/09/2020 04:58:06,-8.050532,-34.874663,ROUBO,BRANCA,HOMEM CIS,"Rua 153, ESTACAO - Recife/PE",False
FC-00013,CAXANGA,32,01/09/2019 19:31:01,-8.030879,-34.923985,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 186, CAXANGA - Recife/PE",False
FC-00014,CURADO,34,03/02/2025 21:52:04,-8.067785,-34.909486,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,MULHER CIS,"Rua 273, CURADO - Recife/PE",False
FC-00015,TOTOS,28,14/10/2020 23:59:34,-8.038903,-34.869436,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 354, TOTOS - Recife/PE",False
FC-00016,VARZEA,21,15/09/2022 03:14:04,-8.036382,-34.911829,TIRO,AMARELA,HOMEM CIS,"Rua 302, VARZEA - Recife/PE",False
FC-00017,MANGABEIRA,34,02/02/2018 21:04:32,-8.015289,-34.869028,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 343, MANGABEIRA - Recife/PE",False
FC-00018,ALTO JOSE DO PINHO,25,26/04/2023 16:26:12,-8.022031,-34.883165,ROUBO,PRETA,HOMEM CIS,"Rua 338, ALTO JOSE DO PINHO - Recife/PE",False
FC-00019,ESTACAO,42,04/11/2023 01:46:21,-8.050206,-34.873518,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 56, ESTACAO - Recife/PE",False
FC-00020,NOVA DESCOBERTA,26,28/04/2020 22:28:51,-8.014006,-34.862073,DISPARO,NAO IDENTIFICADO,HOMEM CIS,"Rua 282, NOVA DESCOBERTA - Recife/PE",False
FC-00021,COHAB,24,06/04/2019 15:30:13,-8.065557,-34.908319,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 463, COHAB - Recife/PE",False
FC-00022,IBURA,15,10/08/2024 15:46:50,-8.079562,-34.887931,HOMICIDIO/TENTATIVA,AMARELA,HOMEM CIS,"Rua 368, IBURA - Recife/PE",False
FC-00023,ALTO JOSE DO PINHO,29,24/01/2024 12:03:37,-8.016989,-34.883915,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 471, ALTO JOSE DO PINHO - Recife/PE",False
FC-00024,CAXANGA,22,03/10/2020 20:15:25,-8.023916,-34.915386,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 456, CAXANGA - Recife/PE",False
FC-00025,MANGABEIRA,29,17/10/2023 12:16:13,-8.005306,-34.877859,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 161, MANGABEIRA - Recife/PE",False
FC-00026,NOVA DESCOBERTA,39,01/02/2021 16:36:06,-8.014739,-34.865897,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"Rua 110, NOVA DESCOBERTA - Recife/PE",False
FC-00027,ALTO JOSE DO PINHO,31,06/05/2020 15:34:45,-8.025963,-34.885659,HOMICIDIO/TENTATIVA,NAO IDENTIFICADO,HOMEM CIS,"Rua 414, ALTO JOSE DO PINHO - Recife/PE",False
FC-00028,SANTO AMARO,34,09/03/2023 02:06:47,-8.053566,-34.871555,HOMICIDIO/TENTATIVA,PARDA,HOMEM CIS,"Rua 140, SANTO AMARO - Recife/PE",False
FC-00029,NOVA DESCOBERTA,20,16/09/2024 09:58:54,-8.016505,-34.862254,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 325, NOVA DESCOBERTA - Recife/PE",True
FC-00030,ESTACAO,33,06/05/2023 21:35:45,-8.054589,-34.86946,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"Rua 5, ESTACAO - Recife/PE",False
FC-00031,COHAB,33,19/06/2018 18:27:08,-8.062094,-34.907106,HOMICIDIO/TENTATIVA,PRETA,MULHER CIS,"Rua 187, COHAB - Recife/PE",True
FC-00032,CURADO,26,22/04/2020 02:49:35,-8.071176,-34.914391,ROUBO,PARDA,HOMEM CIS,"Rua 209, CURADO - Recife/PE",False
FC-00033,GRACO,33,14/03/2019 00:47:59,-8.042217,-34.869985,HOMICIDIO/TENTATIVA,BRANCA,HOMEM CIS,"Rua 477, GRACO - Recife/PE",False
FC-00034,ESTACAO,27,04/12/2019 14:02:54,-8.057246,-34.872262,HOMICIDIO/TENTATIVA,PRETA,HOMEM CIS,"Rua 103, ESTACAO - Recife/PE",False
FC-00035,CASA AMARELA,25,22/01/2020 05:21:17,-8.034407,-34.860484,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"Rua 496, CASA AMARELA - Recife/PE",False
FC-00036,TOTOS,34,01/06/2024 02:16:11,-8.032341,-34.864476,TIRO,NAO IDENTIFICADO,HOMEM CIS,"Rua 136, TOTOS - Recife/PE",False
FC-00037,IBURA,33,04/09/2022 14:36:12,-8.082223,-34.897756,AMEACA,NAO IDENTIFICADO,HOMEM CIS,"Rua 363, IBURA - Recife/PE",False
